80,Turn up the volume on radio v2,大声一点,{radio} 开再大声,,2,F
81,Turn down the volume on radio v2,小声一点,{radio} 关再小声,,2,F
82,Turn off the radio v2,关掉收音机,关掉 {radio},,2,F ,Sentence,Chinese,Direct Chinese Translation from Hokkien,Sort of done romanization
1,Hail the doctor,,叫医生,gio i seing
2,I have a headache,,我头痛,ua thau tia
3,Call for tissue,,我要纸,ua ai dzua
4,Hail the nurse,,叫护士,gio mi si
5,I want to sleep,,我要睡,ua ai kun
6,It is very hot,,房间很热,bahng geing tsin dzua
7,Call for additional pillow,,我要一个枕头,ua ai tsit ei dzim thau
8,Lower the bed,,床弄下一点,ming tsuhng tsohng loh tahm po
9,Draw the divider all the way,,窗口布关掉,tahng ah boh gue tiau
10,Call for medicine,,我要吃药,ua ai dzia ioq
11,Bring the table further,,桌子拿走,toh teing gia dzau
12,I want to watch TV,,我要看电视机,ua ai kua tian si gi
13,Call for handkerchief,,我要一条布,ua ai dzit tiau boh
14,Raise the bed,,床弄上一点,ming tsuhng tsohng ki tahm po
15,Call for additional blanket,,我要一条被子,ua ai dzit tiao pue
16,Call for shower,,我要冲水,ua ai tsahng tshui
17,Bring the table nearer,,桌子搬过来,toh teing tsohng gue lai
18,Call granddaughter,,打电话给我的孙女,kah tian ue hoh ua ei tsah boh sun
19,Do not disturb sign,,不要打扰,mai tsohng dzi
20,Play music,,我要听音乐,ua ai teing eing ieit
21,Call son,,打电话给我的儿子,kah tian ue hoh ua ei kia
22,Dispense cold water,,倒一杯冷水,toh tsit bue leing tshui
23,Draw the divider halfway,,窗口布拉一半,tahng ah boh tua tsit pua
24,Pause music,,停音乐,teing eing gahk
25,I want to watch a movie,,我要看戏,ua ai kua hi
26,Call daughter,,打电话给我的女儿,kah tian ue hoh ua ei tsah boh kia
27,Draw back the divider halfway,,窗口布开一半,tahng ah boh kui tsit pua
28,Skip track,,换歌,ua gua
29,Dispense hot water,,倒一杯烧水,tau tsit bue sio tshui
30,Call father,,打电话给我的爸爸,kah tian ue hoh ua ei lau pei
31,Report an annoying neighbour,,我边头的人很吵,ua bi thau ei lahng tsin tsah
32,Report light malfunction,,有东西坏了,u ming gia pai liau
33,It is very stuffy,,房间很闷热,pahng geing tsin hip
34,It is very dark,,房间很暗,pahng geing tsin ahm
35,there's no more water,,房间没水了,pahng geing boh tshui liau
36,I'm very bored,,我很闷,ua tsin sian ah
37,When is my next consultation,,我几时要看医生,ua ti si ai kua i seing
38,Call grandson,,打电话给我的孙子,kah tian ue hoh ua ei sun
39,The aircon is too cold,,我很冷,ua tsin leing
40,When will I be discharged,,我几时可以回家,ua ti si ei sai teng tshu
41,When can I eat?,,我几时可以吃,ua ti si ei sai dzia
42,When do I have to take my medication?,,我什么时候要吃药,ua si mi si hau ai dzia ioq
43,I'm hungry,,我饿,ua iau
44,Remind me to eat my medicine,,时间到了叫我吃药,si gahng gau liau gio ua dzia ioq
45,I want to switch ward,,我要换房间,ua ai ua pahng geing
46,I want to get up,,我要起来,ua ai khi lai
47,Call mother,,打电话给我的妈妈,kah tian ue hoh ua ei lau bu
48,I don't want to see anybody,,我不要见人,ua mai gi lahng
49,It is very noisy outside,,外面很吵,gua kau tsin tsah
50,Draw back the divider all the way,,窗口布开到完,tahng ah boh kui gau uan
